,index,title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs,Other_prob,Aff_prob,UnAff_prob,Covered_prob,NotCovered_prob,Covered,NotCovered,entropy,model_name,Judgment,Judgment_prob,item
10,10,Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""Yes, but only if the oil is not ""fixed"" oil.""
The insurance company's definition of ""fixed oil"" is ""oil that is not leaking from a fixed oil-fired heating installation."" The insurance company's definition of ""heating installation"" is ""a fixed oil-fired heating installation."" The insurance company's",,-4.644631385803223,0.09558339682516881,-4.648637294769288,-5.097756385803223,0.0617132793111427,-6.039262294769288,0.003592142758755142,0.00033938296911841193,0.8427033238636885,0.09558339682516881,0.0617132793111427,0.6076631698328916,0.39233683016710835,True,False,0.5405143077537238,Llama-3.2-1B,Covered,0.6076631698328916,Escape of Oil IIversion
11,11,Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",controversial," """," ""Yes, but only if the oil is not ""fixed oil-fired heating installation.""",,-4.695499420166016,0.09084285060368436,-4.719123363494873,-5.101749420166016,0.06051438450773581,-6.078498363494873,0.0035778278083479914,0.0003250807580592446,0.8486427648885798,0.09084285060368436,0.06051438450773581,0.600188359260205,0.399811640739795,True,False,0.5269097575562255,Llama-3.2-1B,Covered,0.600188359260205,Escape of Oil IIversion
12,12,Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, it," it depends.
The insurance company will not pay for the damage to Carol's wall unless it can be shown that the damage was caused by a sudden, unforeseen flow of water from an internal source. In this case, the water was leaking from a pipe that had been leaking for several days before Carol noticed it. The",,-4.272989273071289,0.07768742950189002,-5.375748634338378,-4.7894368171691895,0.05773239542558235,-6.453873634338378,0.0028297644127530143,0.00017397066927706152,0.8645801750725276,0.07768742950189002,0.05773239542558235,0.5736784074525096,0.42632159254749036,True,False,0.48895145927178774,Llama-3.2-1B,Covered,0.5736784074525096,Escape of Water Iversion
13,13,Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",unambiguous_covered, it," it depends.
The insurance company will not pay for the damage to the wall unless it can be shown that the damage was caused by a sudden, unforeseen flow of water from an internal source. In other words, the insurance company will not pay for the damage unless it can be shown that the water flow was caused by",,-4.040387153625488,0.08941471997862928,-5.18831491470337,-4.6644697189331055,0.0586396050053429,-6.54768991470337,0.0029654700715907273,0.0001596391313772786,0.8519456750160278,0.08941471997862928,0.0586396050053429,0.6039318337259584,0.39606816627404173,True,False,0.5187207020127312,Llama-3.2-1B,Covered,0.6039318337259584,Escape of Water Iversion
14,14,Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",controversial, it," it depends.
The insurance company will not pay for the damage to Carol's wall unless it can be shown that the damage was caused by a sudden, unforeseen flow of water from an internal source. In this case, the water was caused by a burst pipe, and the water was not ""sudden/unforeseen",,-4.15886116027832,0.08192084831063401,-5.222753524780273,-4.658251762390137,0.05809058000758688,-6.394628524780273,0.0027813627810273273,0.0001878011697722784,0.8599885716817792,0.08192084831063401,0.05809058000758688,0.5851011542032312,0.41489884579676883,True,False,0.49999486704660645,Llama-3.2-1B,Covered,0.5851011542032312,Escape of Water Iversion
15,15,Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how ""flow of water"" would be understood by ordinary speakers of English, is Miranda covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""It depends.""
The insurance company's definition of ""escape of water"" is not the same as the ordinary English speaker's. The insurance company's definition is narrower than the ordinary English speaker's. The insurance company's definition is narrower than the ordinary English speaker's because the insurance company's definition is narrower than the ordinary",,-4.565062522888184,0.09875998550187462,-4.802000522613525,-4.611937522888184,0.05627174350964312,-6.395750522613525,0.0031499300810336867,0.0003372284301758394,0.8449682709884823,0.09875998550187462,0.05627174350964312,0.6370307944803832,0.3629692055196168,True,False,0.5329011836613089,Llama-3.2-1B,Covered,0.6370307944803832,Escape of Water IIversion
16,16,Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how ""flow of water"" would be understood by ordinary speakers of English, is Miranda covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""It depends.""
The insurance company's definition of ""escape of water"" is not the same as the ordinary English speaker's. The insurance company's definition is narrower than the ordinary English speaker's. The insurance company's definition is narrower than the ordinary English speaker's because the insurance company's definition is narrower than the ordinary",,-4.675124168395996,0.09127536004643562,-4.99087381362915,-4.690749168395996,0.05365801607462259,-6.49087381362915,0.0032476888184628885,0.00035873138942762214,0.8550666238789417,0.09127536004643562,0.05365801607462259,0.6297746074044134,0.37022539259558657,True,False,0.5093409388277191,Llama-3.2-1B,Covered,0.6297746074044134,Escape of Water IIversion
17,17,Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how ""flow of water"" would be understood by ordinary speakers of English, is Miranda covered by the insurance—yes or no? Final answer is:",controversial," """," ""It depends.""
The first thing to note is that the policy language is not clear. The policy defines ""Escape of Water"" as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance."" The policy does not define ""s",,-4.605398178100586,0.09940795104755772,-4.835796356201172,-4.636648178100586,0.05576280671841349,-6.429546356201172,0.0034015530300656356,0.0003670231334030087,0.8448292422340288,0.09940795104755772,0.05576280671841349,0.640635854839898,0.3593641451601019,True,False,0.5329089058420808,Llama-3.2-1B,Covered,0.640635854839898,Escape of Water IIversion
18,18,Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how ""internal source"" would be understood by ordinary speakers of English, is Belinda covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""Yes, but only if the damage is caused by a sudden, unforeseen flow of water from an internal source.""
The word ""sudden"" is not defined in the policy, but it is understood to mean ""unexpected."" The word ""unforeseen"" is not defined in the",,-4.080211162567139,0.09872034163409231,-4.5215535163879395,-4.549839019775391,0.044496744126025764,-6.4434285163879395,0.003274094227919993,0.0005779119596863225,0.856782914239882,0.09872034163409231,0.044496744126025764,0.689305616785446,0.31069438321455395,True,False,0.4995059222265109,Llama-3.2-1B,Covered,0.689305616785446,Escape of Water IIIversion
19,19,Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda uses the tub for a bath and fills the tub with water, but the tub suddenly cracks and begins to leak, causing water to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how ""internal source"" would be understood by ordinary speakers of English, is Belinda covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""Yes, but only if the damage is caused by a sudden, unforeseen flow of water from an internal source.""
The word ""sudden"" is not defined in the policy, but it is understood to mean ""unexpected."" The word ""unforeseen"" is not defined in the policy, but it is understood",,-4.01540994644165,0.09178349136064894,-4.7610206604003915,-4.466447830200195,0.042683287440430796,-6.5735206604003915,0.003044030466886405,0.00049305721780475,0.8655332211989203,0.09178349136064894,0.042683287440430796,0.6825737344123242,0.31742626558767584,True,False,0.4788207077854156,Llama-3.2-1B,Covered,0.6825737344123242,Escape of Water IIIversion
20,20,Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda fills the tub with tomato juice to give her dog a bath after being sprayed by a skunk, but the tub suddenly cracks and begins to leak, causing the tomato juice to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how ""internal source"" would be understood by ordinary speakers of English, is Belinda covered by the insurance—yes or no? Final answer is:",controversial," """," ""Yes, but only if the damage is caused by a sudden, unforeseen flow of water from an internal source.""
The word ""sudden"" is not defined in the policy, but it is understood to mean ""unexpected."" The word ""unforeseen"" is not defined",,-4.034356117248535,0.09402497222789813,-4.712764739990234,-4.442319869995117,0.04304776912558127,-6.540889739990234,0.0032173576239453313,0.0005547420261676001,0.8629272586465206,0.09402497222789813,0.04304776912558127,0.6859494550081925,0.3140505449918074,True,False,0.4849146894439712,Llama-3.2-1B,Covered,0.6859494550081925,Escape of Water IIIversion
21,21,Fire,yes_or_no,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire."" 
Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.
Considering just how ""naturally occuring fire"" would be understood by ordinary speakers of English, is Fatema covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""It depends.""
The insurance company's definition of ""fire"" is ""damage to the policyholder's property caused by naturally-occurring fire."" The policyholder's definition of ""fire"" is ""damage to the policyholder's property caused by fire."" The policyholder's definition of ""fire"" is ""damage",,-4.341938018798828,0.09269949820391704,-4.913034439086914,-4.487767219543457,0.05199970572540981,-6.288034439086914,0.00394762076491603,0.00047147606554525957,0.8553007960706731,0.09269949820391704,0.05199970572540981,0.6406358548398982,0.359364145160102,True,False,0.5078990701357184,Llama-3.2-1B,Covered,0.6406358548398982,Fireversion
22,22,Fire,yes_or_no,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire."" 
Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage.
Considering just how ""naturally occuring fire"" would be understood by ordinary speakers of English, is Fatema covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""It depends.""
The insurance company's definition of ""fire"" is ""damage to the policyholder's property caused by naturally-occurring fire."" The policyholder's definition of ""fire"" is ""damage to the policyholder's property caused by fire."" The policyholder's definition of ""fire"" is ""damage",,-4.214608192443848,0.09340053623928551,-4.897966384887696,-4.433358192443848,0.04921862390557697,-6.351091384887696,0.003855100537872136,0.0004863068802748981,0.8573808398551375,0.09340053623928551,0.04921862390557697,0.6548947290421275,0.34510527095787247,True,False,0.5015883087561973,Llama-3.2-1B,Covered,0.6548947290421275,Fireversion
23,23,Fire,yes_or_no,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire."" 
Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, burning embers from a nearby quick-moving brush fire make contact with the grill and cause its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.
Considering just how ""naturally occuring fire"" would be understood by ordinary speakers of English, is Fatema covered by the insurance—yes or no? Final answer is:",controversial," """," ""It depends.""
The insurance company's definition of ""fire"" is ""damage to the policyholder's property caused by naturally-occurring fire."" The policyholder's definition of ""fire"" is ""damage to the policyholder's property caused by fire."" The policyholder's definition of ""fire"" is ""damage",,-4.309823989868164,0.09039430694238351,-4.963397979736328,-4.497323989868164,0.049146532222237464,-6.369647979736328,0.003789773630135029,0.00045262391370596775,0.8604591608353791,0.09039430694238351,0.049146532222237464,0.6477982179521103,0.35220178204788966,True,False,0.4946630533607924,Llama-3.2-1B,Covered,0.6477982179521103,Fireversion
24,24,Flood I,yes_or_no,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""
Charlotte lives alone in a one-story home. One day, the waterbed in her bedroom begins to leak, causing a large volume of water to suddenly seep through her floors. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.
Considering just how ""outside the building"" would be understood by ordinary speakers of English, is Charlotte covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""It depends.""
The insurance company's definition of ""flooding"" is ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings."" The insurance company's definition of ""outside the buildings"" is ""outside the building."" The insurance company's definition of ""outside the building",,-4.603142261505127,0.09506995770394358,-4.925034523010254,-4.603142261505127,0.05250261707889756,-6.362534523010254,0.0035728479307670646,0.0003428758047976176,0.8524274252171589,0.09506995770394358,0.05250261707889756,0.6442251064863697,0.35577489351363034,True,False,0.5145373958360642,Llama-3.2-1B,Covered,0.6442251064863697,Flood Iversion
25,25,Flood I,yes_or_no,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""
Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.
Considering just how ""outside the building"" would be understood by ordinary speakers of English, is Charlotte covered by the insurance—yes or no? Final answer is:",unambiguous_covered, it," it depends.
The insurance company will not pay for the damage to the basement, because the damage was caused by a ""sudden release from outside the buildings."" The insurance company will pay for the damage to the basement, because the damage was caused by a ""large volume of water caused by a sudden release from outside the",,-4.626086235046387,0.09437670582326375,-4.939671993255616,-4.672961235046387,0.050516210377876666,-6.424046993255616,0.0034918058710029717,0.00032226101504727295,0.8551070837988596,0.09437670582326375,0.050516210377876666,0.6513548646660542,0.34864513533394575,True,False,0.5074354010361165,Llama-3.2-1B,Covered,0.6513548646660542,Flood Iversion
